week,location_key,new_confirmed,new_deceased,new_hospitalized_patients,new_persons_fully_vaccinated,life_expectancy,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,country_name
2020-03-30/2020-04-05,ES,20521.0,63.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-03-30/2020-04-05,IT,24684.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-03-30/2020-04-05,US,200904.0,10680.0,23486.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-04-06/2020-04-12,DE,16338.0,1391.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-04-06/2020-04-12,ES,15203.0,20.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-04-06/2020-04-12,IT,22045.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-04-06/2020-04-12,US,219504.0,15746.0,19196.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-04-13/2020-04-19,DE,8956.0,837.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-04-13/2020-04-19,ES,13455.0,35.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-04-13/2020-04-19,IT,17876.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-04-13/2020-04-19,US,185428.0,15943.0,11456.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-04-20/2020-04-26,DE,5878.0,478.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-04-20/2020-04-26,ES,8604.0,26.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-04-20/2020-04-26,IT,14556.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-04-20/2020-04-26,US,193379.0,14520.0,6642.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-04-27/2020-05-03,DE,3027.0,265.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-04-27/2020-05-03,ES,4583.0,14.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-04-27/2020-05-03,IT,10198.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-04-27/2020-05-03,US,170058.0,13279.0,3972.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-05-04/2020-05-10,DE,2410.0,167.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-05-04/2020-05-10,ES,3585.0,9.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-05-04/2020-05-10,IT,6391.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-05-04/2020-05-10,US,141695.0,11434.0,2492.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-05-11/2020-05-17,DE,1800.0,104.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-05-11/2020-05-17,ES,2286.0,6.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-05-11/2020-05-17,IT,4797.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-05-11/2020-05-17,US,127045.0,9033.0,1657.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-05-18/2020-05-24,DE,1469.0,79.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-05-18/2020-05-24,ES,2409.0,2.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-05-18/2020-05-24,IT,3067.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-05-18/2020-05-24,US,123832.0,7173.0,1267.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-05-25/2020-05-31,DE,1279.0,49.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-05-25/2020-05-31,ES,2769.0,6.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-05-25/2020-05-31,IT,2332.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-05-25/2020-05-31,US,112671.0,6016.0,967.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-06-01/2020-06-07,DE,932.0,34.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-06-01/2020-06-07,ES,2661.0,2.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-06-01/2020-06-07,IT,1411.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-06-01/2020-06-07,US,113381.0,5176.0,869.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-06-08/2020-06-14,DE,999.0,25.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-06-08/2020-06-14,ES,2729.0,2.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-06-08/2020-06-14,IT,1630.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-06-08/2020-06-14,US,105110.0,4448.0,695.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-06-15/2020-06-21,DE,2459.0,32.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
2020-06-15/2020-06-21,ES,2481.0,0.0,,,,19357122.0,8224314.0,8300422.0,1513858.0,1713301.0,1703871.0,2111146.0,2739366.0,2474428.0,1899658.0,1399847.0,992477.0,Spain
2020-06-15/2020-06-21,IT,928.0,0.0,,,,55443101.0,26986652.0,28456449.0,4633566.0,5231560.0,5623413.0,6471216.0,8507701.0,8610615.0,6764526.0,5533564.0,4066940.0,Italy
2020-06-15/2020-06-21,US,136873.0,3431.0,670.0,,77.97359487904967,341338766.0,167361582.0,172779253.0,42034674.0,43600405.0,47667343.0,45409648.0,42444067.0,45231261.0,38309532.0,22458802.0,12982024.0,United States of America
2020-06-22/2020-06-28,DE,1421.0,21.0,,,,82786787.0,40126479.0,41172726.0,7401202.0,7586334.0,9513883.0,10265460.0,10205383.0,13258896.0,10159451.0,7543815.0,5313340.0,Germany
